Facility Number,School Type,Facility Name,Facility Address,County,Tdap/Td,Meningococcal,Hepatitis A,Hepatitis B,MMR,Polio,Varicella
9220904000,Public ISD,EVERMAN ISD,"1520 E EVERMAN PKWY, FORT WORTH, TX, .",Tarrant,98.4293193717278%,98.4293193717278%,99.4764397905759%,99.4764397905759%,99.738219895288%,99.738219895288%,99.4764397905759%
9108809000,Public ISD,EXCELLENCE IN LEADERSHIP ACADEMY,"915 W INTERSTATE HWY 2, MISSION, TX, .",Hidalgo,100%,100%,100%,100%,100%,100%,100%
9143906000,Public ISD,EZZELL ISD,"20500 FM 531, HALLETTSVILLE, TX, .",Lavaca,87.5%,87.5%,100%,100%,100%,100%,100%
7071179101,Private School,El Paso Adventist Junior Academy,"3510 George Dieter Dr., El Paso, TX, .",El Paso,100%,33.3333333333333%,100%,100%,100%,100%,66.6666666666667%
7015100002,Private School,Epiphany of the Lord Catholic School,"20910 Highland Knolls Drive, Katy, TX, .",Harris,100%,100%,100%,100%,100%,100%,100%
7170194001,Private School,Esprit International School,"4890 W. Panther Creek, The Woodlands, TX, .",Montgomery,85.7142857142857%,85.7142857142857%,85.7142857142857%,85.7142857142857%,85.7142857142857%,85.7142857142857%,85.7142857142857%
7079150001,Private School,Everest Academy,"610 Brand Lane, Stafford, TX, .",Fort Bend,90%,90%,100%,100%,100%,100%,100%
7043240001,Private School,Excellence Academy,"6200 Virginia Pkwy, Mckinney, TX, .",Collin,75%,12.5%,75%,75%,75%,75%,62.5%
9071903000,Public ISD,FABENS ISD,"P O BOX 697, FABENS, TX, .",El Paso,98.6111111111111%,100%,97.9166666666667%,99.3055555555555%,100%,99.3055555555555%,100%
9081902000,Public ISD,FAIRFIELD ISD,"615 POST OAK RD, FAIRFIELD, TX, .",Freestone,97.2027972027972%,97.2027972027972%,97.2027972027972%,97.9020979020979%,97.9020979020979%,97.9020979020979%,97.2027972027972%
9070801000,Public ISD,FAITH FAMILY ACADEMY,"1620 FALCON DR, DESOTO, TX, .",Dallas,93.040293040293%,93.040293040293%,95.970695970696%,97.4358974358975%,97.8021978021978%,97.8021978021978%,97.0695970695971%
9128904000,Public ISD,FALLS CITY ISD,"P O BOX 399, FALLS CITY, TX, .",Karnes,93.75%,93.75%,93.75%,93.75%,93.75%,93.75%,93.75%
9060914000,Public ISD,FANNINDEL ISD,"601 W MAIN ST, LADONIA, TX, .",Fannin,100%,100%,100%,100%,100%,100%,100%
9043904000,Public ISD,FARMERSVILLE ISD,"501-A HWY 78 N, FARMERSVILLE, TX, .",Collin,96.8354430379747%,96.2025316455696%,96.2025316455696%,96.2025316455696%,96.8354430379747%,96.8354430379747%,96.2025316455696%
9185902000,Public ISD,FARWELL ISD,"P O BOX F, FARWELL, TX, .",Parmer,100%,100%,100%,100%,100%,100%,100%
9075906000,Public ISD,FAYETTEVILLE ISD,"P O BOX 129, FAYETTEVILLE, TX, .",Fayette,100%,100%,100%,100%,100%,100%,100%
9070905000,Public ISD,FERRIS ISD,"P O BOX 459, FERRIS, TX, .",Ellis,99.0654205607477%,99.0654205607477%,98.5981308411215%,99.0654205607477%,99.0654205607477%,99.0654205607477%,99.0654205607477%
9075901000,Public ISD,FLATONIA ISD,"P O BOX 189, FLATONIA, TX, .",Fayette,92.3076923076923%,92.3076923076923%,100%,100%,98.0769230769231%,98.0769230769231%,98.0769230769231%
9246902000,Public ISD,FLORENCE ISD,"306 COLLEGE AVE, FLORENCE, TX, .",Williamson,94.8453608247423%,94.8453608247423%,95.8762886597938%,95.8762886597938%,95.8762886597938%,95.8762886597938%,95.8762886597938%
9247901000,Public ISD,FLORESVILLE ISD,"1200 5TH ST, FLORESVILLE, TX, .",Wilson,95.4545454545455%,95.4545454545455%,95.8041958041958%,95.8041958041958%,95.8041958041958%,95.8041958041958%,95.8041958041958%
9178914000,Public ISD,FLOUR BLUFF ISD,"2505 WALDRON RD, CORPUS CHRISTI, TX, .",Nueces,96.4989059080963%,96.4989059080963%,98.0306345733042%,98.0306345733042%,98.0306345733042%,97.8118161925602%,98.0306345733042%
9077901000,Public ISD,FLOYDADA COLLEGIATE ISD,"226 W CALIFORNIA ST, FLOYDADA, TX, .",Floyd,100%,100%,100%,100%,100%,100%,100%
9148902000,Public ISD,FOLLETT ISD,"PO DRAWER 28, FOLLETT, TX, .",Lipscomb,80%,80%,100%,100%,100%,100%,100%
9169910000,Public ISD,FORESTBURG ISD,"16346 FM 455, FORESTBURG, TX, .",Montague,100%,100%,100%,100%,100%,100%,100%
9129902000,Public ISD,FORNEY ISD,"600 S BOIS D'ARC ST, FORNEY, TX, .",Kaufman,96.7993754879001%,96.7993754879001%,98.3606557377049%,98.6729117876659%,98.4387197501952%,98.4387197501952%,98.4387197501952%
9114904000,Public ISD,FORSAN ISD,"P O 689, FORSAN, TX, .",Howard,92%,92%,92%,92%,92%,92%,94%
9242906000,Public ISD,FORT ELLIOTT CISD,"P O BOX 138, BRISCOE, TX, .",Wheeler,92.3076923076923%,92.3076923076923%,92.3076923076923%,92.3076923076923%,92.3076923076923%,92.3076923076923%,92.3076923076923%
9186902000,Public ISD,FORT STOCKTON ISD,"101 W DIVISION ST, FORT STOCKTON, TX, .",Pecos,80.655737704918%,79.5628415300546%,92.6775956284153%,94.7540983606558%,92.896174863388%,92.896174863388%,92.3497267759563%
9220809000,Public ISD,FORT WORTH ACADEMY OF FINE ARTS,"3901 S HULEN ST, FORT WORTH, TX, .",Tarrant,90.2439024390244%,90.2439024390244%,87.8048780487805%,90.2439024390244%,90.2439024390244%,90.2439024390244%,87.8048780487805%
9220905000,Public ISD,FORT WORTH ISD,"7060 CAMP BOWIE BLVD, FORT WORTH, TX, .",Tarrant,76.4309031556039%,76.974972796518%,95.582154515778%,97.4537540805223%,97.7584330794342%,96.974972796518%,96.3438520130577%
9198903000,Public ISD,FRANKLIN ISD,"P O BOX 909, FRANKLIN, TX, .",Robertson,95.8762886597938%,94.8453608247423%,97.9381443298969%,97.9381443298969%,97.9381443298969%,97.9381443298969%,97.9381443298969%
9001904000,Public ISD,FRANKSTON ISD,"P O BOX 428, FRANKSTON, TX, .",Anderson,96.6666666666667%,96.6666666666667%,96.6666666666667%,96.6666666666667%,96.6666666666667%,96.6666666666667%,96.6666666666667%
9086901000,Public ISD,FREDERICKSBURG ISD,"234 FRIENDSHIP LN, FREDERICKSBURG, TX, .",Gillespie,92.8888888888889%,93.7777777777778%,96.4444444444444%,97.7777777777778%,97.3333333333333%,96.8888888888889%,96%
9066903000,Public ISD,FREER ISD,"P O BOX 240, FREER, TX, .",Duval,98.4375%,98.4375%,98.4375%,100%,98.4375%,98.4375%,98.4375%
9152907000,Public ISD,FRENSHIP ISD,"P O BOX 100, WOLFFORTH, TX, .",Lubbock,96.8347010550996%,96.7174677608441%,98.8276670574443%,99.0621336459555%,99.0621336459555%,99.0621336459555%,98.8276670574443%
9084911000,Public ISD,FRIENDSWOOD ISD,"302 LAUREL DR, FRIENDSWOOD, TX, .",Galveston,95.5734406438632%,95.5734406438632%,95.5734406438632%,97.9879275653924%,98.1891348088531%,98.5915492957746%,97.9879275653924%
9185903000,Public ISD,FRIONA ISD,"909 E 11TH ST, FRIONA, TX, .",Parmer,98.6301369863014%,100%,98.6301369863014%,98.6301369863014%,100%,98.6301369863014%,98.6301369863014%
9043905000,Public ISD,FRISCO ISD,"5515 OHIO DR, FRISCO, TX, .",Collin,96.8544517504887%,96.747822996268%,98.080682424027%,98.3472543095788%,98.418340145726%,98.3472543095788%,98.2406255553581%
9175905000,Public ISD,FROST ISD,"P O BOX K, FROST, TX, .",Navarro,90.3225806451613%,90.3225806451613%,90.3225806451613%,93.5483870967742%,93.5483870967742%,93.5483870967742%,93.5483870967742%
9122901000,Public ISD,FT DAVIS ISD,"P O BOX 1339, FT DAVIS, TX, .",Jeff Davis,100%,100%,100%,100%,100%,100%,100%
9115901000,Public ISD,FT HANCOCK ISD,"P O BOX 98, FT HANCOCK, TX, .",Hudspeth,100%,100%,100%,100%,100%,100%,100%
9015914000,Public ISD,FT SAM HOUSTON ISD,"4005 WINANS RD, SAN ANTONIO, TX, .",Bexar,99.1150442477876%,99.1150442477876%,99.1150442477876%,98.2300884955752%,99.1150442477876%,99.1150442477876%,99.1150442477876%
7057196001,Private School,Fairhill School,"16150 Preston Rd, Dallas, TX, .",Dallas,100%,100%,100%,100%,100%,100%,100%
7235181101,Private School,Faith Academy Victoria,"PO Box 4824, Victoria, TX, .",Victoria,90.9090909090909%,90.9090909090909%,90.9090909090909%,90.9090909090909%,90.9090909090909%,90.9090909090909%,90.9090909090909%
7008130101,Private School,Faith Academy of Bellville,"12177  Hwy 36, Bellville, TX, .",Austin,82.3529411764706%,82.3529411764706%,82.3529411764706%,82.3529411764706%,82.3529411764706%,82.3529411764706%,82.3529411764706%
7027190001,Private School,Faith Academy of Marble Falls (NAUMS),"3151 E FM 1431, Marble Falls, TX, .",Burnet,55.5555555555556%,50%,86.1111111111111%,88.8888888888889%,75%,83.3333333333333%,75%
7101101001,Private School,Faith Christian Academy,"3519 Burke Road, Pasadena, TX, .",Harris,90.9090909090909%,90.9090909090909%,90.9090909090909%,90.9090909090909%,90.9090909090909%,90.9090909090909%,90.9090909090909%
7043151101,Private School,Faith Lutheran School Plano,"1701 East Park Blvd., Plano, TX, .",Collin,64.2857142857143%,64.2857142857143%,64.2857142857143%,64.2857142857143%,64.2857142857143%,64.2857142857143%,64.2857142857143%
7101120101,Private School,Family Christian Academy,"14718 Woodford, Houston, TX, .",Harris,88.8888888888889%,88.8888888888889%,94.4444444444445%,100%,94.4444444444445%,94.4444444444445%,94.4444444444445%
7071100002,Private School,Father Yermo School,"250 Washington Street, El Paso, TX, .",El Paso,100%,100%,100%,100%,100%,100%,95.6521739130435%
7057272001,Private School,First Baptist Academy,"7894 Samuell Blvd., Dallas, TX, .",Dallas,97.0588235294118%,97.0588235294118%,97.0588235294118%,97.0588235294118%,97.0588235294118%,97.0588235294118%,97.0588235294118%
7015121001,Private School,First Baptist Academy,"1401 Pat Booker Rd, Universal City, TX, .",Bexar,96%,96%,96%,96%,96%,96%,96%
7101110002,Private School,First Baptist Academy,"7450 Memorial Woods Drive, Houston, TX, .",Harris,93.75%,93.75%,93.75%,93.75%,100%,100%,93.75%
7101117001,Private School,First Baptist Christian Academy,"7500 Fairmont Pkwy, Pasadena, TX, .",Harris,85.7142857142857%,85.7142857142857%,92.8571428571429%,92.8571428571429%,92.8571428571429%,92.8571428571429%,92.8571428571429%
7031110001,Private School,First Baptist School,"1600 Boca Chica Blvd, Brownsville, TX, .",Cameron,100%,100%,100%,100%,100%,100%,100%
7068330001,Private School,First Odessa Christian Academy,"709 N. Lee Street, Odessa, TX, .",Ector,73.3333333333333%,73.3333333333333%,73.3333333333333%,73.3333333333333%,73.3333333333333%,73.3333333333333%,73.3333333333333%
7079101101,Private School,Fort Bend Christian Academy,"1250 Seventh Street, Sugar Land, TX, .",Fort Bend,95.7746478873239%,95.7746478873239%,98.5915492957746%,98.5915492957746%,98.5915492957746%,98.5915492957746%,98.5915492957746%
7220296001,Private School,Fort Worth Christian School,"6200 Holiday Lane, North Richland Hills, TX, .",Tarrant,92.156862745098%,92.156862745098%,96.078431372549%,96.078431372549%,96.078431372549%,96.078431372549%,96.078431372549%
7220182001,Private School,Fort Worth Country Day,"4200 Country Day Lane, Fort Worth, TX, .",Tarrant,100%,100%,100%,100%,100%,100%,100%
7020300001,Private School,Foundation Preparatory Academy (NAUMS),"102 Yaupon Street, Lake Jackson, TX, .",Brazoria,85.7142857142857%,85.7142857142857%,71.4285714285714%,85.7142857142857%,85.7142857142857%,85.7142857142857%,85.7142857142857%
7101430001,Private School,Founders Christian School,"24724 Aldine Westfield Road, Spring, TX, .",Harris,50%,50%,64.2857142857143%,71.4285714285714%,71.4285714285714%,71.4285714285714%,71.4285714285714%
7174300001,Private School,Fredonia Hill Baptist Academy,"1711 South Street, Nacogdoches, TX, .",Nacogdoches,90.9090909090909%,90.9090909090909%,90.9090909090909%,90.9090909090909%,90.9090909090909%,90.9090909090909%,90.9090909090909%
7201120001,Private School,Full Armor Christian Academy,"2324 FM 3135 EAST, Henderson, TX, .",Rusk,60%,60%,90%,90%,90%,90%,90%
9049901000,Public ISD,GAINESVILLE ISD,"800 S MORRIS ST, GAINESVILLE, TX, .",Cooke,96.1904761904762%,96.6666666666667%,96.1904761904762%,96.6666666666667%,97.1428571428571%,96.1904761904762%,97.1428571428571%
9101910000,Public ISD,GALENA PARK ISD,"P O BOX 565, GALENA PARK, TX, .",Harris,94.8604060913706%,94.2893401015228%,99.1116751269036%,99.3654822335025%,99.4289340101523%,99.0482233502538%,99.2385786802031%
9084902000,Public ISD,GALVESTON ISD,"P O BOX 660, GALVESTON, TX, .",Galveston,97.2027972027972%,98.1351981351981%,98.6013986013986%,99.0675990675991%,99.0675990675991%,98.6013986013986%,98.8344988344989%
9120902000,Public ISD,GANADO ISD,"210 S SIXTH ST, GANADO, TX, .",Jackson,95.6521739130435%,95.6521739130435%,97.8260869565217%,100%,97.8260869565217%,100%,97.8260869565217%
9057909000,Public ISD,GARLAND ISD,"501 S JUPITER, GARLAND, TX, .",Dallas,97.6408912188729%,97.9030144167759%,98.1979030144168%,99.0825688073395%,98.9187418086501%,98.7221494102228%,98.4272608125819%
9184911000,Public ISD,GARNER ISD,"2222 GARNER SCHOOL RD, WEATHERFORD, TX, .",Parker,91.6666666666667%,91.6666666666667%,91.6666666666667%,91.6666666666667%,91.6666666666667%,91.6666666666667%,91.6666666666667%
9174903000,Public ISD,GARRISON ISD,"459 N US HWY 59, GARRISON, TX, .",Nacogdoches,96.8253968253968%,96.8253968253968%,98.4126984126984%,98.4126984126984%,98.4126984126984%,98.4126984126984%,98.4126984126984%
9050902000,Public ISD,GATESVILLE ISD,"311 S LOVERS LN, GATESVILLE, TX, .",Coryell,97.1291866028708%,97.1291866028708%,99.0430622009569%,99.0430622009569%,99.0430622009569%,99.0430622009569%,99.0430622009569%
9166902000,Public ISD,GAUSE ISD,"P O BOX 38, GAUSE, TX, .",Milam,100%,100%,100%,100%,100%,100%,100%
9015802000,Public ISD,GEORGE GERVIN ACADEMY,"6944 SUNBELT DR S, SAN ANTONIO, TX, .",Bexar,96%,96%,100%,96%,96%,96%,96%
9101804000,Public ISD,GEORGE I SANCHEZ CHARTER,"6001 GULF FWY BLDG B3, HOUSTON, TX, .",Harris,84.6774193548387%,88.7096774193548%,88.7096774193548%,92.741935483871%,98.3870967741936%,91.9354838709677%,91.9354838709677%
9149901000,Public ISD,GEORGE WEST ISD,"913 HOUSTON ST, GEORGE WEST, TX, .",Live Oak,100%,100%,100%,100%,100%,100%,100%
9246904000,Public ISD,GEORGETOWN ISD,"507 E UNIVERSITY AVE, GEORGETOWN, TX, .",Williamson,93.2203389830508%,93.3200398803589%,96.111665004985%,96.5104685942173%,96.9092721834496%,96.4107676969093%,96.5104685942173%
9161925000,Public ISD,GHOLSON ISD,"137 HAMILTON DR, WACO, TX, .",Mclennan,95.4545454545455%,95.4545454545455%,95.4545454545455%,95.4545454545455%,95.4545454545455%,95.4545454545455%,95.4545454545455%
9144901000,Public ISD,GIDDINGS ISD,"P O BOX 389, GIDDINGS, TX, .",Lee,98.5074626865672%,98.5074626865672%,98.5074626865672%,98.5074626865672%,98.5074626865672%,98.5074626865672%,98.5074626865672%
9230902000,Public ISD,GILMER ISD,"245 N BRADFORD ST, GILMER, TX, .",Upshur,94.0886699507389%,93.5960591133005%,96.551724137931%,96.551724137931%,96.551724137931%,96.551724137931%,96.551724137931%
9092901000,Public ISD,GLADEWATER ISD,"200 E BROADWAY, GLADEWATER, TX, .",Gregg,97.7099236641221%,97.7099236641221%,96.1832061068702%,97.7099236641221%,97.7099236641221%,97.7099236641221%,96.1832061068702%
9087901000,Public ISD,GLASSCOCK COUNTY ISD,"P O BOX 9, GARDEN CITY, TX, .",Glasscock,100%,100%,100%,100%,100%,100%,100%
9213901000,Public ISD,GLEN ROSE ISD,"P O BOX 2129, GLEN ROSE, TX, .",Somervell,93.1972789115646%,92.5170068027211%,97.9591836734694%,99.3197278911565%,99.3197278911565%,99.3197278911565%,99.3197278911565%
9126911000,Public ISD,GODLEY ISD,"313 N PEARSON, GODLEY, TX, .",Johnson,93.723849372385%,93.723849372385%,97.071129707113%,97.071129707113%,97.071129707113%,97.489539748954%,97.907949790795%
9169906000,Public ISD,GOLD BURG ISD,"468 PRATER RD, BOWIE, TX, .",Montague,100%,100%,100%,100%,100%,100%,100%
9167901000,Public ISD,GOLDTHWAITE ISD,"P O BOX 608, GOLDTHWAITE, TX, .",Mills,97.0588235294118%,97.0588235294118%,97.0588235294118%,97.0588235294118%,97.0588235294118%,97.0588235294118%,97.0588235294118%
9088902000,Public ISD,GOLIAD ISD,"P O BOX 830, GOLIAD, TX, .",Goliad,98.8636363636364%,98.8636363636364%,97.7272727272727%,98.8636363636364%,97.7272727272727%,97.7272727272727%,97.7272727272727%
9089901000,Public ISD,GONZALES ISD,"P O BOX 157, GONZALES, TX, .",Gonzales,99.4565217391304%,100%,98.3695652173913%,99.4565217391304%,100%,99.4565217391304%,100%
9187903000,Public ISD,GOODRICH ISD,"P O BOX 789, GOODRICH, TX, .",Polk,93.3333333333333%,93.3333333333333%,93.3333333333333%,93.3333333333333%,93.3333333333333%,93.3333333333333%,93.3333333333333%
9101911000,Public ISD,GOOSE CREEK CISD,"P O BOX 30, BAYTOWN, TX, .",Harris,92.146017699115%,92.0907079646018%,98.0088495575221%,98.396017699115%,99.8893805309734%,98.2853982300885%,98.1194690265487%
9182901000,Public ISD,GORDON ISD,"BOX 47, GORDON, TX, .",Palo Pinto,94.1176470588235%,94.1176470588235%,94.1176470588235%,94.1176470588235%,94.1176470588235%,94.1176470588235%,100%
9067904000,Public ISD,GORMAN ISD,"P O BOX 8, GORMAN, TX, .",Eastland,100%,100%,100%,100%,100%,100%,100%
9156905000,Public ISD,GRADY ISD,"3011 STATE HWY 176, LENORAH, TX, .",Martin,88.8888888888889%,88.8888888888889%,88.8888888888889%,94.4444444444445%,88.8888888888889%,88.8888888888889%,88.8888888888889%
9182902000,Public ISD,GRAFORD ISD,"400 W DIVISION, GRAFORD, TX, .",Palo Pinto,100%,100%,100%,100%,100%,100%,100%
9252901000,Public ISD,GRAHAM ISD,"400 3RD ST, GRAHAM, TX, .",Young,94.5121951219512%,94.5121951219512%,98.1707317073171%,98.1707317073171%,98.1707317073171%,98.1707317073171%,98.1707317073171%
9111901000,Public ISD,GRANBURY ISD,"217 N JONES, GRANBURY, TX, .",Hood,94.3894389438944%,94.2244224422442%,96.039603960396%,97.1947194719472%,97.1947194719472%,97.1947194719472%,96.5346534653465%
9057910000,Public ISD,GRAND PRAIRIE ISD,"BOX 531170, GRAND PRAIRIE, TX, .",Dallas,96.3269529229177%,96.0682876357993%,98.3445421624418%,99.0170719089498%,99.0688049663735%,98.9136057941024%,98.4480082772892%
9234904000,Public ISD,GRAND SALINE ISD,"400 STADIUM DR, GRAND SALINE, TX, .",Van Zandt,96.6292134831461%,96.6292134831461%,96.6292134831461%,96.6292134831461%,96.6292134831461%,96.6292134831461%,96.6292134831461%
9238904000,Public ISD,GRANDFALLS-ROYALTY ISD,"P O BOX 10, GRANDFALLS, TX, .",Ward,100%,100%,100%,100%,100%,100%,100%
9126904000,Public ISD,GRANDVIEW ISD,"P O BOX 310, GRANDVIEW, TX, .",Johnson,93.3962264150944%,93.3962264150944%,92.4528301886792%,93.3962264150944%,93.3962264150944%,93.3962264150944%,92.4528301886792%
9246905000,Public ISD,GRANGER ISD,"P O BOX 578, GRANGER, TX, .",Williamson,100%,100%,100%,100%,100%,100%,100%
9226907000,Public ISD,GRAPE CREEK ISD,"8207 U S HWY 87 N, SAN ANGELO, TX, .",Tom Green,100%,100%,100%,100%,100%,100%,100%
9113902000,Public ISD,GRAPELAND ISD,"P O BOX 249, GRAPELAND, TX, .",Houston,92.6829268292683%,92.6829268292683%,92.6829268292683%,92.6829268292683%,92.6829268292683%,92.6829268292683%,92.6829268292683%
9220906000,Public ISD,GRAPEVINE-COLLEYVILLE ISD,"3051 IRA E WOODS AVE, GRAPEVINE, TX, .",Tarrant,82.3686553873553%,82.1015138023152%,89.8486197684773%,90.3829029385574%,90.2938557435441%,90.3829029385574%,90.1157613535174%
9015835000,Public ISD,GREAT HEARTS TEXAS,"12500 SAN PEDRO AVE, SAN ANTONIO, TX, .",Bexar,87.1090047393365%,87.0142180094787%,88.5308056872038%,88.2464454976303%,88.6255924170616%,88.5308056872038%,88.3412322274882%
9116905000,Public ISD,GREENVILLE ISD,"P O BOX 1022, GREENVILLE, TX, .",Hunt,98.3783783783784%,98.9189189189189%,98.9189189189189%,99.4594594594595%,99.4594594594595%,99.1891891891892%,99.1891891891892%
9165902000,Public ISD,GREENWOOD ISD,"2700 FM 1379, MIDLAND, TX, .",Midland,93.9068100358423%,94.2652329749104%,96.415770609319%,96.415770609319%,96.415770609319%,96.415770609319%,96.415770609319%
9205902000,Public ISD,GREGORY-PORTLAND ISD,"1200 BROADWAY BLVD, PORTLAND, TX, .",San Patricio,96.3276836158192%,96.6101694915254%,96.3276836158192%,96.6101694915254%,96.6101694915254%,96.6101694915254%,96.6101694915254%
9147902000,Public ISD,GROESBECK ISD,"1202 N ELLIS, GROESBECK, TX, .",Limestone,98%,98%,100%,100%,100%,100%,100%
9033901000,Public ISD,GROOM ISD,"P O BOX 598, GROOM, TX, .",Carson,85.7142857142857%,85.7142857142857%,85.7142857142857%,85.7142857142857%,85.7142857142857%,85.7142857142857%,85.7142857142857%
9228901000,Public ISD,GROVETON ISD,"P O BOX 728, GROVETON, TX, .",Trinity,91.3043478260869%,92.7536231884058%,92.7536231884058%,92.7536231884058%,92.7536231884058%,92.7536231884058%,92.7536231884058%
9098901000,Public ISD,GRUVER ISD,"P O BOX 650, GRUVER, TX, .",Hansford,96.7741935483871%,96.7741935483871%,96.7741935483871%,100%,100%,96.7741935483871%,96.7741935483871%
9091917000,Public ISD,GUNTER ISD,"213 N 8TH ST, GUNTER, TX, .",Grayson,90.4761904761905%,90.4761904761905%,91.6666666666667%,91.6666666666667%,91.6666666666667%,91.6666666666667%,91.6666666666667%
9047903000,Public ISD,GUSTINE ISD,"503 W MAIN ST, GUSTINE, TX, .",Comanche,100%,100%,100%,100%,100%,100%,100%
9135001000,Public ISD,GUTHRIE CSD,"P O BOX 70, GUTHRIE, TX, .",King,91.6666666666667%,91.6666666666667%,91.6666666666667%,91.6666666666667%,91.6666666666667%,83.3333333333333%,91.6666666666667%
7057118001,Private School,Garland Christian Academy,"1516 Lavon Dr, Garland, TX, .",Dallas,76.9230769230769%,76.9230769230769%,92.3076923076923%,92.3076923076923%,89.7435897435898%,87.1794871794872%,87.1794871794872%
7101420001,Private School,Genesis Christian School,"9426 Telephone Road, Houston, TX, .",Harris,100%,94.7368421052632%,89.4736842105263%,94.7368421052632%,94.7368421052632%,94.7368421052632%,89.4736842105263%
7130191001,Private School,Geneva School of Boerne,"113 Cascade Caverns Road, Boerne, TX, .",Kendall,87.5%,87.5%,87.5%,87.5%,87.5%,87.5%,87.5%
7046111001,Private School,Gloria Deo Academy,"1100 BULVERDE ROAD, Bulverde, TX, .",Comal,64.7058823529412%,11.7647058823529%,64.7058823529412%,64.7058823529412%,64.7058823529412%,64.7058823529412%,64.7058823529412%
7057100103,Private School,Good Shepherd Catholic School - Garland,"214 S Garland Ave, Garland, TX, .",Dallas,94.1176470588235%,94.1176470588235%,100%,100%,100%,100%,100%
7057130101,Private School,Good Shepherd Episcopal School Dallas,"11110 Midway Rd, Dallas, TX, .",Dallas,96.8253968253968%,96.8253968253968%,98.4126984126984%,96.8253968253968%,98.4126984126984%,96.8253968253968%,98.4126984126984%
7043113001,Private School,Good Tree Academy,"3600 K Ave, Plano, TX, .",Collin,92.8571428571429%,92.8571428571429%,96.4285714285714%,96.4285714285714%,96.4285714285714%,96.4285714285714%,96.4285714285714%
7246900001,Private School,Grace Academy of Georgetown,"225 Grace Blvd., Georgetown, TX, .",Williamson,88.2352941176471%,88.2352941176471%,91.1764705882353%,91.1764705882353%,91.1764705882353%,91.1764705882353%,91.1764705882353%
7101105001,Private School,Grace Christian Academy,"14325 Crescent Landing Dr, Houston, TX, .",Harris,100%,100%,100%,100%,100%,100%,100%
7111230001,Private School,Grace Classical Christian Academy,"910 Paluxy Road, Granbury, TX, .",Hood,50%,50%,50%,50%,50%,50%,50%
7212121001,Private School,Grace Community School,"3001 University Blvd, Tyler, TX, .",Smith,92.5925925925926%,90.1234567901235%,93.8271604938272%,95.0617283950617%,95.0617283950617%,96.2962962962963%,93.8271604938272%
7043400001,Private School,Grace Covenant Academy (NAUMS),"8000 Santuary Drive, Frisco, TX, .",Collin,85%,85%,85%,85%,85%,85%,85%
7220194001,Private School,Grace Preparatory Academy (NAUMS),"3300 West I-20, Arlington, TX, .",Tarrant,84.0909090909091%,81.8181818181818%,84.0909090909091%,84.0909090909091%,84.0909090909091%,84.0909090909091%,84.0909090909091%
7101170101,Private School,Grace School Houston,"10219 Ella Lee Lane, Houston, TX, .",Harris,97.6190476190476%,97.6190476190476%,97.6190476190476%,97.6190476190476%,97.6190476190476%,97.6190476190476%,97.6190476190476%
7220120001,Private School,Grapevine Faith Christian School,"730 E Worth St., Grapevine, TX, .",Tarrant,85.9154929577465%,85.9154929577465%,92.9577464788732%,94.3661971830986%,92.9577464788732%,94.3661971830986%,92.9577464788732%
7043191002,Private School,Great Lakes Academy,"6000 Custer Rd Bldg 7, Plano, TX, .",Collin,100%,100%,100%,100%,100%,100%,100%
7057198001,Private School,Greenhill School,"4141 Spring Valley, Addison, TX, .",Dallas,99.0566037735849%,100%,99.0566037735849%,99.0566037735849%,99.0566037735849%,99.0566037735849%,99.0566037735849%
7116120001,Private School,Greenville Christian School,"8420 Jack Finney Blvd, Greenville, TX, .",Hunt,76.1904761904762%,76.1904761904762%,95.2380952380952%,95.2380952380952%,95.2380952380952%,95.2380952380952%,95.2380952380952%
7031100112,Private School,Guadalupe Regional Middle School,"1214 Lincoln St, Brownsville, TX, .",Cameron,100%,100%,100%,100%,100%,100%,100%
9095903000,Public ISD,HALE CENTER ISD,"P O BOX 1210, HALE CENTER, TX, .",Hale,98.0392156862745%,98.0392156862745%,100%,100%,100%,100%,100%
9143901000,Public ISD,HALLETTSVILLE ISD,"P O BOX 368, HALLETTSVILLE, TX, .",Lavaca,100%,100%,100%,100%,100%,100%,100%
9102904000,Public ISD,HALLSVILLE ISD,"P O BOX 810, HALLSVILLE, TX, .",Harrison,93.5626535626536%,93.8083538083538%,97.1990171990172%,97.4938574938575%,97.2972972972973%,97.1990171990172%,96.9533169533169%
9097902000,Public ISD,HAMILTON ISD,"400 S COLLEGE, HAMILTON, TX, .",Hamilton,90.7692307692308%,92.3076923076923%,95.3846153846154%,96.9230769230769%,96.9230769230769%,98.4615384615385%,96.9230769230769%
9127903000,Public ISD,HAMLIN COLLEGIATE ISD,"P O BOX 338, HAMLIN, TX, .",Jones,95.2380952380952%,95.2380952380952%,95.2380952380952%,95.2380952380952%,95.2380952380952%,95.2380952380952%,95.2380952380952%
9123914000,Public ISD,HAMSHIRE-FANNETT ISD,"P O BOX 223, HAMSHIRE, TX, .",Jefferson,95.7575757575757%,95.7575757575757%,98.7878787878788%,98.7878787878788%,98.7878787878788%,98.7878787878788%,98.7878787878788%
9219901000,Public ISD,HAPPY ISD,"P O BOX 458, HAPPY, TX, .",Swisher,100%,100%,100%,100%,100%,100%,100%
9146904000,Public ISD,HARDIN ISD,"P O BOX 330, HARDIN, TX, .",Liberty,89.5348837209302%,89.5348837209302%,96.5116279069768%,96.5116279069768%,96.5116279069768%,96.5116279069768%,96.5116279069768%
