Facility Number,School Type,Facility Name,Facility Address,County,Tdap/Td,Meningococcal,Hepatitis A,Hepatitis B,MMR,Polio,Varicella
9166907000,Public ISD,BUCKHOLTS ISD,"P O BOX 248, BUCKHOLTS, TX, .",Milam,100%,100%,100%,100%,100%,100%,100%
9186901000,Public ISD,BUENA VISTA ISD,"P O BOX 310, IMPERIAL, TX, .",Pecos,100%,100%,100%,100%,100%,100%,100%
9145901000,Public ISD,BUFFALO ISD,"708 CEDAR CREEK RD, BUFFALO, TX, .",Leon,100%,100%,100%,100%,100%,100%,100%
9212902000,Public ISD,BULLARD ISD,"P O BOX 250, BULLARD, TX, .",Smith,96.6386554621849%,97.0588235294118%,98.7394957983193%,98.3193277310924%,98.3193277310924%,98.3193277310924%,98.3193277310924%
9121903000,Public ISD,BUNA ISD,"P O BOX 1087, BUNA, TX, .",Jasper,96.3963963963964%,96.3963963963964%,98.1981981981982%,98.1981981981982%,98.1981981981982%,98.1981981981982%,98.1981981981982%
9243901000,Public ISD,BURKBURNETT ISD,"100 N AVE D, BURKBURNETT, TX, .",Wichita,94.331983805668%,94.331983805668%,98.7854251012146%,98.7854251012146%,98.3805668016194%,98.3805668016194%,98.3805668016194%
9176901000,Public ISD,BURKEVILLE ISD,"P O BOX 218, BURKEVILLE, TX, .",Newton,95.6521739130435%,95.6521739130435%,95.6521739130435%,95.6521739130435%,95.6521739130435%,95.6521739130435%,95.6521739130435%
9126902000,Public ISD,BURLESON ISD,"1160 S W WILSHIRE BLVD, BURLESON, TX, .",Johnson,95.1871657754011%,94.9732620320855%,98.1818181818182%,98.2887700534759%,97.9679144385027%,98.0748663101604%,97.9679144385027%
9027903000,Public ISD,BURNET CISD,"208 E BRIER LN, BURNET, TX, .",Burnet,96.6101694915254%,95.7627118644068%,98.3050847457627%,98.728813559322%,98.728813559322%,98.728813559322%,98.728813559322%
9071801000,Public ISD,BURNHAM WOOD CHARTER SCHOOL DISTRICT,"785 SOUTHWESTERN DR, EL PASO, TX, .",El Paso,63.6363636363636%,62.2377622377622%,93.006993006993%,93.006993006993%,93.006993006993%,91.6083916083916%,90.2097902097902%
9239903000,Public ISD,BURTON ISD,"P O BOX 37, BURTON, TX, .",Washington,94.7368421052632%,94.7368421052632%,97.3684210526316%,97.3684210526316%,97.3684210526316%,97.3684210526316%,97.3684210526316%
9188904000,Public ISD,BUSHLAND ISD,"P O BOX 60, BUSHLAND, TX, .",Potter,94.9152542372882%,94.9152542372882%,99.1525423728814%,99.1525423728814%,99.1525423728814%,99.1525423728814%,99.1525423728814%
9109902000,Public ISD,BYNUM ISD,"P O BOX 68, BYNUM, TX, .",Hill,100%,100%,100%,100%,100%,100%,100%
7084120001,Private School,Bay Area Christian School,"4800 W Main ST, League City, TX, .",Galveston,95.2380952380952%,96.8253968253968%,96.8253968253968%,96.8253968253968%,96.8253968253968%,96.8253968253968%,96.8253968253968%
7101127001,Private School,Baytown Christian Academy,"5555 North Main, Baytown, TX, .",Harris,89.4736842105263%,89.4736842105263%,100%,100%,100%,100%,100%
7079320001,Private School,Berean Christian Academy,"600 Pin Oak Rd., Katy, TX, .",Harris,75%,75%,91.6666666666667%,91.6666666666667%,91.6666666666667%,91.6666666666667%,91.6666666666667%
7220180001,Private School,Bethesda Christian School,"4700 North Beach St, Haltom City, TX, .",Tarrant,94.8717948717949%,94.8717948717949%,94.8717948717949%,94.8717948717949%,94.8717948717949%,94.8717948717949%,94.8717948717949%
7057100001,Private School,Bishop Dunne Catholic High School,"3900 Rugged Dr, Dallas, TX, .",Dallas,100%,100%,100%,100%,100%,100%,100%
7178100043,Private School,Bishop Garriga Middle School,"3114 Saratoga blvd, Corpus Christi, TX, .",Nueces,100%,100%,100%,100%,100%,100%,100%
7015100101,Private School,Blessed Sacrament Catholic School,"600 Oblate Dr, San Antonio, TX, .",Bexar,100%,100%,100%,100%,100%,100%,100%
7240121105,Private School,Blessed Sacrament School Laredo,"1501 Bartlett Ave., Laredo, TX, .",Webb,100%,100%,96.4285714285714%,96.4285714285714%,96.4285714285714%,100%,96.4285714285714%
7046120001,Private School,Bracken Christian School,"670 Old Boerne Rd, Bulverde, TX, .",Comal,51.4285714285714%,51.4285714285714%,71.4285714285714%,68.5714285714286%,65.7142857142857%,68.5714285714286%,62.8571428571429%
7021110101,Private School,Brazos Christian School,"3000 W Villa Maria Dr, Bryan, TX, .",Brazos,89.4736842105263%,92.1052631578947%,97.3684210526316%,97.3684210526316%,100%,100%,97.3684210526316%
7021183001,Private School,Brazos Valley Cornerstone Christian Acad,"2475 Earl Rudder Freeway So., College Statio, TX, .",Brazos,50%,62.5%,87.5%,87.5%,100%,87.5%,100%
7020120001,Private School,Brazosport Christian School,"200-B Willow Drive, Lake Jackson, TX, .",Brazoria,91.6666666666667%,91.6666666666667%,91.6666666666667%,91.6666666666667%,91.6666666666667%,91.6666666666667%,91.6666666666667%
7227120101,Private School,Brentwood Christian School,"11908 N Lamar Blvd, Austin, TX, .",Travis,84%,84%,86%,86%,86%,86%,86%
7212320001,Private School,Bridgemark Center for Learning,"6704 Old Jacksonville Highway, Tyler, TX, .",Smith,100%,100%,100%,100%,100%,100%,100%
7057242013,Private School,Brighter Horizons Academy,"3145 Medical Plaza Dr, Garland, TX, .",Dallas,98.6666666666667%,98.6666666666667%,98.6666666666667%,98.6666666666667%,98.6666666666667%,98.6666666666667%,98.6666666666667%
7220179101,Private School,Burton Adventist Academy,"4611 Kelly-Elliot Rd, Arlington, TX, .",Tarrant,88%,88%,88%,88%,88%,88%,88%
7165121001,Private School,Bynum School,"5100 Avalon Drive, Midland, TX, .",Midland,100%,100%,100%,100%,100%,100%,100%
9116901000,Public ISD,CADDO MILLS ISD,"P O BOX 160, CADDO MILLS, TX, .",Hunt,94.4444444444445%,94.4444444444445%,95.8333333333333%,95.3703703703704%,95.3703703703704%,95.8333333333333%,95.8333333333333%
9178903000,Public ISD,CALALLEN ISD,"4205 WILDCAT DR, CORPUS CHRISTI, TX, .",Nueces,98.0707395498392%,98.0707395498392%,99.6784565916399%,99.6784565916399%,98.7138263665595%,99.0353697749196%,98.7138263665595%
9026901000,Public ISD,CALDWELL ISD,"203 N GRAY ST, CALDWELL, TX, .",Burleson,94.0397350993378%,95.364238410596%,100%,99.3377483443709%,100%,99.3377483443709%,100%
9029901000,Public ISD,CALHOUN COUNTY ISD,"525 N COMMERCE ST, PORT LAVACA, TX, .",Calhoun,99.6197718631179%,99.6197718631179%,99.6197718631179%,99.6197718631179%,99.6197718631179%,99.6197718631179%,99.6197718631179%
9049905000,Public ISD,CALLISBURG ISD,"148 DOZIER ST, CALLISBURG, TX, .",Cooke,95.5555555555556%,95.5555555555556%,96.6666666666667%,96.6666666666667%,96.6666666666667%,96.6666666666667%,96.6666666666667%
9198902000,Public ISD,CALVERT ISD,"P O BOX 7, CALVERT, TX, .",Robertson,75%,62.5%,87.5%,87.5%,87.5%,75%,87.5%
9101837000,Public ISD,CALVIN NELMS CHARTER SCHOOLS,"20625 CLAY RD, KATY, TX, .",Harris,94.7368421052632%,92.1052631578947%,97.3684210526316%,97.3684210526316%,97.3684210526316%,97.3684210526316%,97.3684210526316%
9166901000,Public ISD,CAMERON ISD,"BOX 712, CAMERON, TX, .",Milam,98.0582524271845%,98.0582524271845%,100%,100%,100%,100%,100%
9116910000,Public ISD,CAMPBELL ISD,"480 N PATTERSON ST, CAMPBELL, TX, .",Hunt,100%,100%,100%,100%,100%,100%,100%
9106901000,Public ISD,CANADIAN ISD,"800 HILLSIDE AVE, CANADIAN, TX, .",Hemphill,94.2307692307692%,94.2307692307692%,94.2307692307692%,94.2307692307692%,94.2307692307692%,94.2307692307692%,94.2307692307692%
9234902000,Public ISD,CANTON ISD,"1045 S BUFFALO, CANTON, TX, .",Van Zandt,91.1602209944751%,91.1602209944751%,95.5801104972376%,95.5801104972376%,95.5801104972376%,95.5801104972376%,95.5801104972376%
9071907000,Public ISD,CANUTILLO ISD,"P O BOX 100, CANUTILLO, TX, .",El Paso,98.8584474885845%,99.0867579908676%,98.8584474885845%,99.5433789954338%,99.3150684931507%,99.3150684931507%,99.0867579908676%
9191901000,Public ISD,CANYON ISD,"P O BOX 899, CANYON, TX, .",Randall,95.5275229357798%,95.4128440366973%,96.5596330275229%,96.9036697247706%,96.9036697247706%,96.9036697247706%,96.4449541284404%
9201913000,Public ISD,CARLISLE ISD,"P O BOX 187, PRICE, TX, .",Rusk,95.4545454545455%,95.4545454545455%,95.4545454545455%,95.4545454545455%,95.4545454545455%,95.4545454545455%,95.4545454545455%
9064903000,Public ISD,CARRIZO SPRINGS CISD,"300 N 7TH ST, CARRIZO SPRINGS, TX, .",Dimmit,97.9865771812081%,97.9865771812081%,100%,100%,100%,100%,100%
9057903000,Public ISD,CARROLLTON-FARMERS BRANCH ISD,"P O BOX 115186, CARROLLTON, TX, .",Dallas,96.8529222864483%,97.8805394990366%,95.0545921644188%,97.8163134232499%,99.8073217726397%,97.5594091201027%,96.5960179833012%
9183902000,Public ISD,CARTHAGE ISD,"#1 BULLDOG DR, CARTHAGE, TX, .",Panola,93.4426229508197%,93.4426229508197%,95.6284153005464%,95.6284153005464%,95.6284153005464%,95.6284153005464%,95.6284153005464%
9220917000,Public ISD,CASTLEBERRY ISD,"5228 OHIO GARDEN RD, FORT WORTH, TX, .",Tarrant,98.0392156862745%,99.0196078431373%,98.0392156862745%,98.3660130718954%,99.0196078431373%,97.3856209150327%,97.7124183006536%
9001902000,Public ISD,CAYUGA ISD,"P O BOX 427, CAYUGA, TX, .",Anderson,91.6666666666667%,91.6666666666667%,89.5833333333333%,91.6666666666667%,91.6666666666667%,91.6666666666667%,89.5833333333333%
9057904000,Public ISD,CEDAR HILL ISD,"285 UPTOWN BLVD #300, CEDAR HILL, TX, .",Dallas,95.2890792291221%,95.7173447537473%,95.2890792291221%,98.5010706638116%,98.2869379014989%,97.8586723768737%,98.0728051391863%
9227817000,Public ISD,CEDARS INTERNATIONAL ACADEMY,"8416 N IH-35, AUSTIN, TX, .",Travis,100%,100%,100%,100%,100%,100%,100%
9116902000,Public ISD,CELESTE ISD,"207 S 5TH ST, CELESTE, TX, .",Hunt,94.4444444444445%,94.4444444444445%,94.4444444444445%,94.4444444444445%,94.4444444444445%,94.4444444444445%,94.4444444444445%
9043903000,Public ISD,CELINA ISD,"205 S COLORADO, CELINA, TX, .",Collin,94.2363112391931%,94.5244956772335%,95.6772334293948%,96.5417867435158%,96.8299711815562%,96.8299711815562%,96.5417867435158%
9210901000,Public ISD,CENTER ISD,"P O DRAWER 1689, CENTER, TX, .",Shelby,99.3975903614458%,99.3975903614458%,98.7951807228916%,99.3975903614458%,99.3975903614458%,99.3975903614458%,99.3975903614458%
9133901000,Public ISD,CENTER POINT ISD,"P O BOX 377, CENTER POINT, TX, .",Kerr,97.4358974358975%,97.4358974358975%,97.4358974358975%,97.4358974358975%,97.4358974358975%,97.4358974358975%,97.4358974358975%
9228904000,Public ISD,CENTERVILLE ISD,"10327 N STATE HWY 94, GROVETON, TX, .",Trinity,92.3076923076923%,92.3076923076923%,92.3076923076923%,92.3076923076923%,92.3076923076923%,92.3076923076923%,92.3076923076923%
9145902000,Public ISD,CENTERVILLE ISD,"813 S COMMERCE, CENTERVILLE, TX, .",Leon,98.0392156862745%,98.0392156862745%,98.0392156862745%,98.0392156862745%,98.0392156862745%,98.0392156862745%,98.0392156862745%
9174908000,Public ISD,CENTRAL HEIGHTS ISD,"10317 US HWY 259 N, NACOGDOCHES, TX, .",Nacogdoches,99%,99%,99%,99%,99%,99%,99%
9003907000,Public ISD,CENTRAL ISD,"7622 US HWY 69 N, POLLOK, TX, .",Angelina,93.6363636363636%,93.6363636363636%,97.2727272727273%,97.2727272727273%,97.2727272727273%,97.2727272727273%,97.2727272727273%
9101905000,Public ISD,CHANNELVIEW ISD,"828 SHELDON RD, CHANNELVIEW, TX, .",Harris,79.1476407914764%,78.6910197869102%,96.9558599695586%,99.2389649923896%,98.4779299847793%,97.5646879756469%,96.9558599695586%
